STUDENT_ID,FIRST_NAME,LAST_NAME,GENDER,DOB,COLLEGE_ID,PROGRAM,BRANCH,GRAD_YEAR,CGPA,CITY,STATE,COUNTRY,SEGMENT,UPDATED_AT
ST00001,Naveen_1,Chopra_1,M,2001-10-08,CL3375,B.Tech,MBA,2025,6.91,Manipal,KA,India,PREMIUM,2026-01-03 01:17:00
ST00002,Neha_2,Gupta_2,M,2001-10-25,CL0745,B.Tech,MECH,2021,7.59,Chennai,TN,India,REGULAR,2026-01-03 01:52:00
ST00003,Divya_3,Patel_3,F,2001-09-27,CL1411,M.Tech,IT,2022,8.05,Chennai,TN,India,REGULAR,2026-01-02 17:20:00
ST00004,Neha_4,Gupta_4,M,2001-10-25,CL1044,B.Tech,MECH,2021,7.59,Chennai,TN,India,REGULAR,2026-01-04 00:20:00
ST00005,Naveen_5,Chopra_5,M,2001-10-08,CL1585,B.Tech,MBA,2020,6.91,Manipal,KA,India,PREMIUM,2026-01-02 10:59:00
ST00006,Lakshmi_6,Menon_6,M,2001-10-16,CL2988,M.Tech,EEE,2024,8.46,Hyderabad,TS,India,PREMIUM,2026-01-04 04:09:00
ST00007,Anita_7,Sharma_7,F,2001-10-03,CL2402,B.Tech,ECE,2017,6.34,Delhi,DL,India,PREMIUM,2026-01-02 06:19:00
ST00008,Meera_8,Das_8,M,2001-11-18,CL2181,MBA,IT,2017,9.75,Kattankulathur,TN,India,REGULAR,2026-01-02 14:54:00
ST00009,Deepa_9,Patel_9,M,2001-12-03,CL3851,M.Tech,MBA,2020,8.55,Tiruchirappalli,TN,India,VIP,2026-01-02 16:59:00
ST00010,Sunita_10,Verma_10,M,2001-08-09,CL2745,M.Tech,AI&DS,2019,6.46,Chennai,TN,India,REGULAR,2026-01-03 05:30:00
ST00011,Vivek_11,Reddy_11,M,2001-11-10,CL0905,MBA,ECE,2021,7.85,Kolkata,WB,India,PREMIUM,2026-01-01 14:49:00
ST00012,Karthik_12,Raj_12,F,2001-11-13,CL3103,M.Tech,IT,2019,6.2,Chennai,TN,India,VIP,2026-01-01 21:37:00
ST00013,Vivek_13,Reddy_13,M,2001-11-10,CL1092,MBA,ECE,2019,7.85,Kolkata,WB,India,PREMIUM,2026-01-03 16:43:00
ST00014,Divya_14,Patel_14,F,2001-09-27,CL3492,M.Tech,IT,2017,8.05,Chennai,TN,India,REGULAR,2026-01-02 00:54:00
ST00015,Neha_15,Gupta_15,M,2001-10-25,CL3175,B.Tech,MECH,2021,7.59,Chennai,TN,India,REGULAR,2026-01-02 13:30:00
ST00016,John_16,David_16,F,2001-01-07,CL1625,MBA,BBA,2022,6.56,Tiruchirappalli,TN,India,REGULAR,2026-01-02 00:28:00
ST00017,Arjun_17,Mehta_17,F,2001-09-28,CL1678,M.Tech,MBA,2020,9.28,Pune,MH,India,REGULAR,2026-01-01 16:41:00
ST00018,John_18,David_18,F,2001-01-07,CL2122,MBA,BBA,2024,6.56,Tiruchirappalli,TN,India,REGULAR,2026-01-03 15:29:00
ST00019,Karthik_19,Raj_19,F,2001-11-13,CL1071,M.Tech,IT,2020,6.2,Chennai,TN,India,VIP,2026-01-02 23:42:00
ST00020,Meera_20,Das_20,M,2001-11-18,CL3321,MBA,IT,2017,9.75,Kattankulathur,TN,India,REGULAR,2026-01-02 00:43:00
ST00021,Karthik_21,Raj_21,F,2001-11-13,CL1092,M.Tech,IT,2020,6.2,Chennai,TN,India,VIP,2026-01-04 07:37:00
ST00022,Pooja_22,Saxena_22,M,2001-11-09,CL1261,M.Tech,CIVIL,2018,6.25,Pilani,RJ,India,PREMIUM,2026-01-01 13:31:00
ST00023,Sneha_23,Nair_23,M,2001-01-07,CL1838,M.Tech,CIVIL,2018,7.79,Kattankulathur,TN,India,REGULAR,2026-01-04 08:47:00
ST00024,Anita_24,Sharma_24,F,2001-10-03,CL4728,B.Tech,ECE,2024,6.34,Delhi,DL,India,PREMIUM,2026-01-04 02:13:00
ST00025,Rahul_25,Jain_25,M,2001-10-13,CL1204,MBA,CSE,2022,9.19,Kolkata,WB,India,REGULAR,2026-01-03 15:57:00
ST00026,Deepa_26,Patel_26,M,2001-12-03,CL1053,M.Tech,MBA,2025,8.55,Tiruchirappalli,TN,India,VIP,2026-01-02 22:15:00
ST00027,Sneha_27,Nair_27,M,2001-01-07,CL4920,M.Tech,CIVIL,2020,7.79,Kattankulathur,TN,India,REGULAR,2026-01-03 19:53:00
ST00028,Amit_28,Singh_28,M,2001-03-08,CL2421,B.Tech,CSE,2025,7.87,Manipal,KA,India,PREMIUM,2026-01-03 05:16:00
ST00029,John_29,David_29,F,2001-01-07,CL1978,MBA,BBA,2020,6.56,Tiruchirappalli,TN,India,REGULAR,2026-01-03 01:29:00
ST00030,Vikram_30,Shah_30,M,2001-12-23,CL1853,M.Tech,BBA,2023,7.97,Delhi,DL,India,VIP,2026-01-02 16:25:00
ST00031,Meera_31,Das_31,M,2001-11-18,CL4831,MBA,IT,2016,9.75,Kattankulathur,TN,India,REGULAR,2026-01-03 09:04:00
ST00032,Lakshmi_32,Menon_32,M,2001-10-16,CL1760,M.Tech,EEE,2024,8.46,Hyderabad,TS,India,PREMIUM,2026-01-03 01:23:00
ST00033,Kavya_33,Iyer_33,M,2001-09-16,CL3941,B.Tech,DS,2018,7.29,Coimbatore,TN,India,REGULAR,2026-01-04 09:56:00
ST00034,Pooja_34,Saxena_34,M,2001-11-09,CL1624,M.Tech,CIVIL,2023,6.25,Pilani,RJ,India,PREMIUM,2026-01-04 05:22:00
ST00035,Deepa_35,Patel_35,M,2001-12-03,CL2656,M.Tech,MBA,2018,8.55,Tiruchirappalli,TN,India,VIP,2026-01-03 12:39:00
ST00036,John_36,David_36,F,2001-01-07,CL2882,MBA,BBA,2016,6.56,Tiruchirappalli,TN,India,REGULAR,2026-01-04 13:14:00
