STUDENT_ID,FIRST_NAME,LAST_NAME,GENDER,DOB,COLLEGE_ID,PROGRAM,BRANCH,GRAD_YEAR,CGPA,CITY,STATE,COUNTRY,SEGMENT,UPDATED_AT
ST00000,Amit,Patel,M,12-31-2020,CL0036,MBA,CSE,2017.0,8.57,Delhi,TS,India,Below Average,
ST00001,Amit,Kumar,,1998-04-30,CL0130,MBA,CSE,2016.0,8.13,Delhi,MH,India,Top,2016-08-17 00:00:00
ST00002,,Kumar,M,2007-12-24,CL0109,MTech,EEE,2025.0,6.59,Chennai,TS,India,Top,2025-07-14 00:00:00
ST00003,Suresh,Patel,F,1999-01-23,CL0187,MTech,CE,2017.0,6.47,Mumbai,,India,Below Average,2017-05-31 00:00:00
ST00004,Rahul,Patel,M,12-31-2020,CL0018,BTech,ECE,,8.94,Hyderabad,KA,India,Top,2025-07-14 00:00:00
ST00005,Anita,Patel,M,2002-07-09,CL0091,BTech,,2020.0,8.67,Hyderabad,DL,India,Below Average,2020-03-28 00:00:00
ST00006,Priya,Sharma,M,2006-08-25,CL0098,MTech,CE,2024.0,6.83,Chennai,TS,India,,2024-01-17 00:00:00
ST00007,Anita,Patel,M,2003-04-19,CL0146,MBA,EEE,2021.0,6.81,Mumbai,MH,,Below Average,2021-08-23 00:00:00
ST00008,Suresh,Sharma,M,12-31-2020,CL0138,MTech,CE,2018.0,7.63,Delhi,MH,,Average,2018-04-23 00:00:00
ST00009,Neha,Reddy,M,2000-01-25,CL0029,BTech,ECE,2018.0,9.01,Mumbai,,India,Top,2018-07-17 00:00:00
,Neha,Reddy,F,2004-10-10,CL0003,MBA,CSE,2022.0,8.59,Delhi,TN,India,Below Average,2022-06-24 00:00:00
ST00011,Suresh,Reddy,M,1999-08-21,CL0001,MBA,EEE,2017.0,9.69,Bangalore,DL,India,,2017-11-17 00:00:00
ST00012,Rahul,Iyer,M,12-31-2020,CL0096,BTech,CE,2020.0,9.62,Delhi,,India,Below Average,2020-06-14 00:00:00
ST00013,Amit,Kumar,F,,CL0062,BTech,ECE,2023.0,9.34,Hyderabad,TS,India,Below Average,2023-09-06 00:00:00
ST00014,Rahul,Iyer,M,1999-03-07,,MTech,CE,2017.0,6.63,Delhi,DL,India,Average,2017-04-19 00:00:00
,Rahul,Sharma,F,2006-07-24,CL0172,MBA,EEE,2024.0,7.66,Delhi,MH,India,Top,2024-05-06 00:00:00
ST00016,Amit,Patel,M,12-31-2020,CL0142,BTech,CE,2019.0,6.84,Hyderabad,,India,Top,2019-02-04 00:00:00
ST00017,Rahul,Patel,,1998-09-21,CL0061,MTech,ME,2016.0,6.81,Bangalore,DL,India,Below Average,2016-08-30 00:00:00
ST00018,Rahul,Reddy,F,2001-04-08,CL0025,BTech,ME,2019.0,7.35,Mumbai,MH,,Below Average,2019-01-28 00:00:00
ST00019,Amit,Reddy,F,1999-02-25,CL0064,BTech,ECE,2017.0,8.04,Bangalore,MH,India,,2017-05-23 00:00:00
ST00020,Ravi,Kumar,F,12-31-2020,CL0026,BTech,,2023.0,9.18,Hyderabad,KA,India,Top,2023-07-28 00:00:00
ST00021,Anita,Sharma,F,2005-01-31,CL0043,MTech,CSE,2023.0,9.74,Chennai,,India,Average,2023-08-05 00:00:00
ST00022,Priya,Reddy,M,2006-04-08,CL0076,BTech,CSE,2024.0,8.2,Delhi,TS,India,Below Average,
ST00023,Amit,Iyer,F,1998-09-15,CL0136,BTech,CSE,2016.0,9.65,Hyderabad,KA,,Top,2016-10-31 00:00:00
ST00024,Priya,Sharma,F,12-31-2020,CL0146,BTech,CE,2017.0,8.26,Delhi,TS,,Average,2017-12-03 00:00:00
ST00025,Neha,Iyer,F,2007-05-14,CL0053,MBA,EEE,2025.0,6.91,Mumbai,KA,,Below Average,2025-11-27 00:00:00
ST00026,Anita,Patel,M,,CL0118,MBA,CE,2020.0,9.79,Hyderabad,DL,India,Top,2020-09-16 00:00:00
ST00027,Ravi,Patel,M,2002-05-06,CL0095,MTech,ECE,2020.0,7.67,Delhi,TN,,Below Average,2020-11-30 00:00:00
ST00028,Amit,Iyer,F,12-31-2020,CL0027,BTech,EEE,2024.0,6.44,Hyderabad,DL,India,Top,
,Neha,Sharma,F,2002-04-15,CL0176,MBA,EEE,2020.0,7.92,Chennai,TS,India,Top,2020-11-20 00:00:00
ST00030,Rahul,Patel,,2004-01-02,CL0086,BTech,EEE,2022.0,6.61,Mumbai,DL,India,Below Average,2022-08-07 00:00:00
ST00031,Amit,Kumar,M,2006-12-20,CL0039,MBA,CSE,2024.0,9.17,Delhi,DL,,Top,2024-08-08 00:00:00
ST00032,Amit,Patel,F,12-31-2020,CL0092,BTech,ECE,2018.0,8.53,Chennai,DL,India,Average,2018-11-14 00:00:00
ST00033,Ravi,Sharma,M,2000-07-30,CL0007,BTech,,2018.0,8.97,Mumbai,KA,India,Average,2018-03-23 00:00:00
ST00034,Anita,Kumar,F,1999-04-24,CL0052,,EEE,2017.0,7.16,Bangalore,KA,India,Top,2017-12-04 00:00:00
ST00035,Anita,Patel,,2001-02-05,CL0198,MTech,EEE,2019.0,8.44,Mumbai,DL,India,Average,2019-01-15 00:00:00
ST00036,Suresh,Sharma,,12-31-2020,CL0028,MBA,ME,2017.0,7.31,Chennai,MH,India,Below Average,2017-09-19 00:00:00
ST00037,Anita,Iyer,M,1999-05-11,CL0012,MBA,ME,2017.0,6.01,Delhi,,India,Average,2017-08-09 00:00:00
ST00038,Priya,Patel,F,,CL0032,MBA,EEE,2017.0,7.93,Mumbai,TN,India,Average,2017-12-23 00:00:00
ST00039,Neha,Sharma,M,2002-08-04,CL0171,MTech,,2020.0,8.34,Chennai,MH,India,Below Average,2020-01-01 00:00:00
ST00040,Suresh,Sharma,F,12-31-2020,CL0156,MBA,EEE,2020.0,7.77,Mumbai,KA,India,,2020-08-30 00:00:00
ST00041,Priya,Kumar,F,2000-09-20,,MBA,CE,2018.0,7.27,Bangalore,TN,India,Top,2018-04-12 00:00:00
ST00042,Amit,Kumar,M,2000-08-31,CL0157,BTech,ME,2018.0,7.57,Delhi,,India,Below Average,2018-12-23 00:00:00
ST00043,Anita,Reddy,M,2004-03-16,CL0168,MBA,CSE,2022.0,,Hyderabad,MH,India,Top,2022-04-01 00:00:00
ST00044,Anita,Kumar,M,12-31-2020,CL0117,BTech,ME,2024.0,8.54,,DL,India,Average,2024-08-14 00:00:00
ST00045,Rahul,Iyer,F,,CL0115,BTech,ME,2025.0,7.71,Bangalore,TN,India,Below Average,2025-09-06 00:00:00
ST00046,Suresh,Reddy,M,2001-05-27,CL0061,MTech,EEE,2019.0,7.21,Delhi,,India,Top,2019-03-19 00:00:00
ST00047,Anita,Sharma,M,2001-02-02,CL0107,MTech,EEE,2019.0,,Mumbai,TS,India,Top,2019-08-04 00:00:00
ST00048,Rahul,Iyer,,12-31-2020,CL0098,MTech,CSE,2022.0,9.58,Chennai,MH,India,Average,2022-10-03 00:00:00
ST00049,Rahul,Iyer,,2006-09-07,CL0057,MTech,ME,2024.0,7.85,Mumbai,TN,India,Below Average,2024-12-13 00:00:00
ST00050,Priya,Sharma,,2004-03-06,CL0160,MBA,CSE,2022.0,9.45,Delhi,DL,India,Below Average,2022-01-14 00:00:00
ST00051,,Reddy,M,1999-08-25,CL0047,BTech,EEE,2017.0,7.44,Bangalore,MH,India,Average,2017-06-22 00:00:00
ST00052,Suresh,Reddy,F,12-31-2020,CL0121,BTech,CE,2022.0,6.2,Chennai,KA,India,Below Average,
ST00053,Rahul,Kumar,M,1998-04-13,CL0006,,ECE,2016.0,6.91,Mumbai,TS,India,Below Average,2016-04-21 00:00:00
ST00054,Priya,Patel,F,2005-03-27,CL0156,MBA,CSE,2023.0,,Bangalore,TN,India,Top,2023-10-24 00:00:00
ST00055,Suresh,Iyer,F,1998-07-23,CL0184,,CSE,2016.0,8.25,Bangalore,TS,India,Below Average,2016-06-03 00:00:00
ST00056,Rahul,Kumar,M,12-31-2020,,MTech,EEE,2025.0,6.26,Chennai,TS,India,Average,2025-09-08 00:00:00
,Anita,Patel,F,1999-12-29,CL0040,MTech,ECE,2017.0,8.79,Chennai,DL,India,Below Average,2017-09-05 00:00:00
ST00058,Anita,Iyer,F,2005-06-15,CL0063,BTech,EEE,2023.0,9.35,Bangalore,MH,,Below Average,2023-11-09 00:00:00
ST00059,Suresh,Kumar,,2004-06-15,CL0047,MTech,ECE,2022.0,7.35,Chennai,TN,India,Average,2022-11-02 00:00:00
ST00060,Neha,Kumar,M,12-31-2020,CL0062,MBA,ME,,7.86,Bangalore,MH,India,Below Average,2020-12-30 00:00:00
ST00061,Anita,Kumar,M,2005-05-31,CL0057,MTech,ECE,2023.0,7.16,Delhi,TN,India,,2023-10-11 00:00:00
ST00062,Suresh,,F,2006-06-30,CL0180,MTech,EEE,2024.0,7.17,Bangalore,TS,India,Below Average,2024-04-08 00:00:00
ST00063,Amit,Iyer,M,2003-04-09,CL0056,MBA,ME,2021.0,7.05,,DL,India,Below Average,2021-05-25 00:00:00
,Rahul,Sharma,F,12-31-2020,CL0093,BTech,EEE,2017.0,6.05,Delhi,KA,India,Average,2017-01-24 00:00:00
ST00065,Neha,Patel,M,1998-11-23,,MTech,CSE,2016.0,9.32,Delhi,TN,India,Average,2016-09-02 00:00:00
ST00066,Suresh,,M,2005-05-10,CL0123,BTech,CSE,2023.0,7.52,Hyderabad,DL,India,Below Average,2023-12-18 00:00:00
ST00067,Ravi,Sharma,F,1998-02-13,CL0064,BTech,,2016.0,8.9,Delhi,DL,India,Below Average,2016-04-25 00:00:00
ST00068,Anita,Reddy,F,12-31-2020,CL0151,MTech,EEE,2024.0,8.16,Hyderabad,DL,India,Below Average,
ST00069,Priya,Sharma,F,2001-12-05,CL0021,BTech,ECE,2019.0,6.66,Hyderabad,KA,India,,2019-07-29 00:00:00
